Entry	Entry Name	Protein names	Organism	Length	Gene Ontology (molecular function)	Function [CC]	Gene Names
P01920	DQB1_HUMAN	HLA class II histocompatibility antigen, DQ beta 1 chain (MHC class II antigen DQB1)	Homo sapiens (Human)	261	MHC class II protein complex binding [GO:0023026]; MHC class II receptor activity [GO:0032395]; peptide antigen binding [GO:0042605]	FUNCTION: Binds peptides derived from antigens that access the endocytic route of antigen presenting cells (APC) and presents them on the cell surface for recognition by the CD4 T-cells. The peptide binding cleft accommodates peptides of 10-30 residues. The peptides presented by MHC class II molecules are generated mostly by degradation of proteins that access the endocytic route, where they are processed by lysosomal proteases and other hydrolases. Exogenous antigens that have been endocytosed by the APC are thus readily available for presentation via MHC II molecules, and for this reason this antigen presentation pathway is usually referred to as exogenous. As membrane proteins on their way to degradation in lysosomes as part of their normal turn-over are also contained in the endosomal/lysosomal compartments, exogenous antigens must compete with those derived from endogenous components. Autophagy is also a source of endogenous peptides, autophagosomes constitutively fuse with MHC class II loading compartments. In addition to APCs, other cells of the gastrointestinal tract, such as epithelial cells, express MHC class II molecules and CD74 and act as APCs, which is an unusual trait of the GI tract. To produce a MHC class II molecule that presents an antigen, three MHC class II molecules (heterodimers of an alpha and a beta chain) associate with a CD74 trimer in the ER to form a heterononamer. Soon after the entry of this complex into the endosomal/lysosomal system where antigen processing occurs, CD74 undergoes a sequential degradation by various proteases, including CTSS and CTSL, leaving a small fragment termed CLIP (class-II-associated invariant chain peptide). The removal of CLIP is facilitated by HLA-DM via direct binding to the alpha-beta-CLIP complex so that CLIP is released. HLA-DM stabilizes MHC class II molecules until primary high affinity antigenic peptides are bound. The MHC II molecule bound to a peptide is then transported to the cell membrane surface. In B-cells, the interaction between HLA-DM and MHC class II molecules is regulated by HLA-DO. Primary dendritic cells (DCs) also to express HLA-DO. Lysosomal microenvironment has been implicated in the regulation of antigen loading into MHC II molecules, increased acidification produces increased proteolysis and efficient peptide loading.	HLA-DQB1 HLA-DQB
P02647	APOA1_HUMAN	Apolipoprotein A-I (Apo-AI) (ApoA-I) (Apolipoprotein A1) [Cleaved into: Proapolipoprotein A-I (ProapoA-I); Truncated apolipoprotein A-I (Apolipoprotein A-I(1-242))]	Homo sapiens (Human)	267	amyloid-beta binding [GO:0001540]; apolipoprotein A-I receptor binding [GO:0034191]; apolipoprotein receptor binding [GO:0034190]; chemorepellent activity [GO:0045499]; cholesterol binding [GO:0015485]; cholesterol transfer activity [GO:0120020]; enzyme binding [GO:0019899]; heat shock protein binding [GO:0031072]; high-density lipoprotein particle binding [GO:0008035]; high-density lipoprotein particle receptor binding [GO:0070653]; identical protein binding [GO:0042802]; phosphatidylcholine-sterol O-acyltransferase activator activity [GO:0060228]; phospholipid binding [GO:0005543]; protein homodimerization activity [GO:0042803]; receptor ligand activity [GO:0048018]; signaling receptor binding [GO:0005102]	FUNCTION: Participates in the reverse transport of cholesterol from tissues to the liver for excretion by promoting cholesterol efflux from tissues and by acting as a cofactor for the lecithin cholesterol acyltransferase (LCAT). As part of the SPAP complex, activates spermatozoa motility. {ECO:0000269|PubMed:1909888}.	APOA1
P02649	APOE_HUMAN	Apolipoprotein E (Apo-E)	Homo sapiens (Human)	317	amyloid-beta binding [GO:0001540]; antioxidant activity [GO:0016209]; cholesterol transfer activity [GO:0120020]; enzyme binding [GO:0019899]; heparan sulfate proteoglycan binding [GO:0043395]; heparin binding [GO:0008201]; identical protein binding [GO:0042802]; lipid binding [GO:0008289]; lipid transporter activity [GO:0005319]; lipoprotein particle binding [GO:0071813]; low-density lipoprotein particle receptor binding [GO:0050750]; metal chelating activity [GO:0046911]; phosphatidylcholine-sterol O-acyltransferase activator activity [GO:0060228]; phospholipid binding [GO:0005543]; protein dimerization activity [GO:0046983]; protein homodimerization activity [GO:0042803]; protein-containing complex binding [GO:0044877]; receptor ligand activity [GO:0048018]; signaling receptor binding [GO:0005102]; structural molecule activity [GO:0005198]; tau protein binding [GO:0048156]; very-low-density lipoprotein particle receptor binding [GO:0070326]	FUNCTION: APOE is an apolipoprotein, a protein associating with lipid particles, that mainly functions in lipoprotein-mediated lipid transport between organs via the plasma and interstitial fluids (PubMed:14754908, PubMed:1911868, PubMed:6860692). APOE is a core component of plasma lipoproteins and is involved in their production, conversion and clearance (PubMed:14754908, PubMed:1911868, PubMed:1917954, PubMed:23620513, PubMed:2762297, PubMed:6860692, PubMed:9395455). Apolipoproteins are amphipathic molecules that interact both with lipids of the lipoprotein particle core and the aqueous environment of the plasma (PubMed:2762297, PubMed:6860692, PubMed:9395455). As such, APOE associates with chylomicrons, chylomicron remnants, very low density lipoproteins (VLDL) and intermediate density lipoproteins (IDL) but shows a preferential binding to high-density lipoproteins (HDL) (PubMed:1911868, PubMed:6860692). It also binds a wide range of cellular receptors including the LDL receptor/LDLR, the LDL receptor-related proteins LRP1, LRP2 and LRP8 and the very low-density lipoprotein receptor/VLDLR that mediate the cellular uptake of the APOE-containing lipoprotein particles (PubMed:12950167, PubMed:1530612, PubMed:1917954, PubMed:20030366, PubMed:20303980, PubMed:2063194, PubMed:2762297, PubMed:7635945, PubMed:7768901, PubMed:8756331, PubMed:8939961). Finally, APOE has also a heparin-binding activity and binds heparan-sulfate proteoglycans on the surface of cells, a property that supports the capture and the receptor-mediated uptake of APOE-containing lipoproteins by cells (PubMed:23676495, PubMed:7635945, PubMed:9395455, PubMed:9488694). A main function of APOE is to mediate lipoprotein clearance through the uptake of chylomicrons, VLDLs, and HDLs by hepatocytes (PubMed:1911868, PubMed:1917954, PubMed:23676495, PubMed:29516132, PubMed:9395455). APOE is also involved in the biosynthesis by the liver of VLDLs as well as their uptake by peripheral tissues ensuring the delivery of triglycerides and energy storage in muscle, heart and adipose tissues (PubMed:2762297, PubMed:29516132). By participating in the lipoprotein-mediated distribution of lipids among tissues, APOE plays a critical role in plasma and tissues lipid homeostasis (PubMed:1917954, PubMed:2762297, PubMed:29516132). APOE is also involved in two steps of reverse cholesterol transport, the HDLs-mediated transport of cholesterol from peripheral tissues to the liver, and thereby plays an important role in cholesterol homeostasis (PubMed:14754908, PubMed:23620513, PubMed:9395455). First, it is functionally associated with ABCA1 in the biogenesis of HDLs in tissues (PubMed:14754908, PubMed:23620513). Second, it is enriched in circulating HDLs and mediates their uptake by hepatocytes (PubMed:9395455). APOE also plays an important role in lipid transport in the central nervous system, regulating neuron survival and sprouting (PubMed:25173806, PubMed:8939961). APOE is also involved in innate and adaptive immune responses, controlling for instance the survival of myeloid-derived suppressor cells (By similarity). Binds to the immune cell receptor LILRB4 (PubMed:30333625). APOE may also play a role in transcription regulation through a receptor-dependent and cholesterol-independent mechanism, that activates MAP3K12 and a non-canonical MAPK signal transduction pathway that results in enhanced AP-1-mediated transcription of APP (PubMed:28111074). {ECO:0000250|UniProtKB:P08226, ECO:0000269|PubMed:12950167, ECO:0000269|PubMed:14754908, ECO:0000269|PubMed:1530612, ECO:0000269|PubMed:1911868, ECO:0000269|PubMed:1917954, ECO:0000269|PubMed:20030366, ECO:0000269|PubMed:20303980, ECO:0000269|PubMed:2063194, ECO:0000269|PubMed:23620513, ECO:0000269|PubMed:23676495, ECO:0000269|PubMed:2762297, ECO:0000269|PubMed:28111074, ECO:0000269|PubMed:30333625, ECO:0000269|PubMed:6860692, ECO:0000269|PubMed:7635945, ECO:0000269|PubMed:7768901, ECO:0000269|PubMed:8756331, ECO:0000269|PubMed:8939961, ECO:0000269|PubMed:9395455, ECO:0000269|PubMed:9488694, ECO:0000303|PubMed:25173806, ECO:0000303|PubMed:29516132}.; FUNCTION: (Microbial infection) Through its interaction with HCV envelope glycoprotein E2, participates in the attachment of HCV to HSPGs and other receptors (LDLr, VLDLr, and SR-B1) on the cell surface and to the assembly, maturation and infectivity of HCV viral particles (PubMed:25122793, PubMed:29695434). This interaction is probably promoted via the up-regulation of cellular autophagy by the virus (PubMed:29695434). {ECO:0000269|PubMed:25122793, ECO:0000269|PubMed:29695434}.	APOE
P02686	MBP_HUMAN	Myelin basic protein (MBP) (Myelin A1 protein) (Myelin membrane encephalitogenic protein)	Homo sapiens (Human)	304	calmodulin binding [GO:0005516]; lipid binding [GO:0008289]; protease binding [GO:0002020]; structural constituent of myelin sheath [GO:0019911]	FUNCTION: The classic group of MBP isoforms (isoform 4-isoform 14) are with PLP the most abundant protein components of the myelin membrane in the CNS. They have a role in both its formation and stabilization. The smaller isoforms might have an important role in remyelination of denuded axons in multiple sclerosis. The non-classic group of MBP isoforms (isoform 1-isoform 3/Golli-MBPs) may preferentially have a role in the early developing brain long before myelination, maybe as components of transcriptional complexes, and may also be involved in signaling pathways in T-cells and neural cells. Differential splicing events combined with optional post-translational modifications give a wide spectrum of isomers, with each of them potentially having a specialized function. Induces T-cell proliferation. {ECO:0000269|PubMed:8544862}.	MBP
P02741	CRP_HUMAN	C-reactive protein [Cleaved into: C-reactive protein(1-205)]	Homo sapiens (Human)	224	calcium ion binding [GO:0005509]; choline binding [GO:0033265]; complement component C1q complex binding [GO:0001849]; identical protein binding [GO:0042802]; low-density lipoprotein particle binding [GO:0030169]; low-density lipoprotein particle receptor binding [GO:0050750]	FUNCTION: Displays several functions associated with host defense: it promotes agglutination, bacterial capsular swelling, phagocytosis and complement fixation through its calcium-dependent binding to phosphorylcholine. Can interact with DNA and histones and may scavenge nuclear material released from damaged circulating cells.	CRP PTX1
P02743	SAMP_HUMAN	Serum amyloid P-component (SAP) (9.5S alpha-1-glycoprotein) [Cleaved into: Serum amyloid P-component(1-203)]	Homo sapiens (Human)	223	calcium ion binding [GO:0005509]; carbohydrate binding [GO:0030246]; complement component C1q complex binding [GO:0001849]; identical protein binding [GO:0042802]; unfolded protein binding [GO:0051082]; virion binding [GO:0046790]	FUNCTION: Can interact with DNA and histones and may scavenge nuclear material released from damaged circulating cells. May also function as a calcium-dependent lectin.	APCS PTX2
P02745	C1QA_HUMAN	Complement C1q subcomponent subunit A	Homo sapiens (Human)	245	amyloid-beta binding [GO:0001540]	FUNCTION: C1q associates with the proenzymes C1r and C1s to yield C1, the first component of the serum complement system. The collagen-like regions of C1q interact with the Ca(2+)-dependent C1r(2)C1s(2) proenzyme complex, and efficient activation of C1 takes place on interaction of the globular heads of C1q with the Fc regions of IgG or IgM antibody present in immune complexes.	C1QA
P02746	C1QB_HUMAN	Complement C1q subcomponent subunit B	Homo sapiens (Human)	253		FUNCTION: C1q associates with the proenzymes C1r and C1s to yield C1, the first component of the serum complement system. The collagen-like regions of C1q interact with the Ca(2+)-dependent C1r(2)C1s(2) proenzyme complex, and efficient activation of C1 takes place on interaction of the globular heads of C1q with the Fc regions of IgG or IgM antibody present in immune complexes.	C1QB
P02747	C1QC_HUMAN	Complement C1q subcomponent subunit C	Homo sapiens (Human)	245		FUNCTION: C1q associates with the proenzymes C1r and C1s to yield C1, the first component of the serum complement system. The collagen-like regions of C1q interact with the Ca(2+)-dependent C1r(2)C1s(2) proenzyme complex, and efficient activation of C1 takes place on interaction of the globular heads of C1q with the Fc regions of IgG or IgM antibody present in immune complexes.	C1QC C1QG
P02749	APOH_HUMAN	Beta-2-glycoprotein 1 (APC inhibitor) (Activated protein C-binding protein) (Anticardiolipin cofactor) (Apolipoprotein H) (Apo-H) (Beta-2-glycoprotein I) (B2GPI) (Beta(2)GPI)	Homo sapiens (Human)	345	heparin binding [GO:0008201]; identical protein binding [GO:0042802]; lipid binding [GO:0008289]; lipoprotein lipase activator activity [GO:0060230]; phospholipid binding [GO:0005543]	FUNCTION: Binds to various kinds of negatively charged substances such as heparin, phospholipids, and dextran sulfate. May prevent activation of the intrinsic blood coagulation cascade by binding to phospholipids on the surface of damaged cells.	APOH B2G1
P02750	A2GL_HUMAN	Leucine-rich alpha-2-glycoprotein (LRG)	Homo sapiens (Human)	347	type I transforming growth factor beta receptor binding [GO:0034713]; type II transforming growth factor beta receptor binding [GO:0005114]		LRG1 LRG
P02753	RET4_HUMAN	Retinol-binding protein 4 (Plasma retinol-binding protein) (PRBP) (RBP) [Cleaved into: Plasma retinol-binding protein(1-182); Plasma retinol-binding protein(1-181); Plasma retinol-binding protein(1-179); Plasma retinol-binding protein(1-176)]	Homo sapiens (Human)	201	retinal binding [GO:0016918]; retinol binding [GO:0019841]; retinol transmembrane transporter activity [GO:0034632]	FUNCTION: Retinol-binding protein that mediates retinol transport in blood plasma (PubMed:5541771). Delivers retinol from the liver stores to the peripheral tissues (Probable). Transfers the bound all-trans retinol to STRA6, that then facilitates retinol transport across the cell membrane (PubMed:22665496). {ECO:0000269|PubMed:22665496, ECO:0000305, ECO:0000305|PubMed:5541771}.	RBP4 PRO2222
P02760	AMBP_HUMAN	Protein AMBP (Protein HC) [Cleaved into: Alpha-1-microglobulin (EC 1.6.2.-) (Alpha-1 microglycoprotein) (Complex-forming glycoprotein heterogeneous in charge); Inter-alpha-trypsin inhibitor light chain (ITI-LC) (Bikunin) (EDC1) (HI-30) (Uronic-acid-rich protein); Trypstatin]	Homo sapiens (Human)	352	calcium channel inhibitor activity [GO:0019855]; calcium oxalate binding [GO:0046904]; carbohydrate binding [GO:0030246]; heme binding [GO:0020037]; IgA binding [GO:0019862]; oxidoreductase activity [GO:0016491]; protein homodimerization activity [GO:0042803]; serine-type endopeptidase inhibitor activity [GO:0004867]	FUNCTION: [Alpha-1-microglobulin]: Antioxidant and tissue repair protein with reductase, heme-binding and radical-scavenging activities. Removes and protects against harmful oxidants and repairs macromolecules in intravascular and extravascular spaces and in intracellular compartments (PubMed:11877257, PubMed:15683711, PubMed:22096585, PubMed:23157686, PubMed:23642167, PubMed:25698971, PubMed:32092412, PubMed:32823731). Intravascularly, plays a regulatory role in red cell homeostasis by preventing heme- and reactive oxygen species-induced cell damage. Binds and degrades free heme to protect fetal and adult red blood cells from hemolysis (PubMed:11877257, PubMed:32092412). Reduces extracellular methemoglobin, a Fe3+ (ferric) form of hemoglobin that cannot bind oxygen, back to the Fe2+ (ferrous) form deoxyhemoglobin, which has oxygen-carrying potential (PubMed:15683711). Upon acute inflammation, inhibits oxidation of low-density lipoprotein particles by MPO and limits vascular damage (PubMed:25698971). Extravascularly, protects from oxidation products formed on extracellular matrix structures and cell membranes. Catalyzes the reduction of carbonyl groups on oxidized collagen fibers and preserves cellular and extracellular matrix ultrastructures (PubMed:22096585, PubMed:23642167). Importantly, counteracts the oxidative damage at blood-placenta interface, preventing leakage of free fetal hemoglobin into the maternal circulation (PubMed:21356557). Intracellularly, has a role in maintaining mitochondrial redox homeostasis. Bound to complex I of the respiratory chain of mitochondria, may scavenge free radicals and preserve mitochondrial ATP synthesis. Protects renal tubule epithelial cells from heme-induced oxidative damage to mitochondria (PubMed:23157686, PubMed:32823731). Reduces cytochrome c from Fe3+ (ferric) to the Fe2+ (ferrous) state through formation of superoxide anion radicals in the presence of ascorbate or NADH/NADPH electron donor cofactors, ascorbate being the preferred cofactor (PubMed:15683711). Has a chaperone role in facilitating the correct folding of bikunin in the endoplasmic reticulum compartment (By similarity). {ECO:0000250|UniProtKB:Q07456, ECO:0000269|PubMed:11877257, ECO:0000269|PubMed:15683711, ECO:0000269|PubMed:21356557, ECO:0000269|PubMed:22096585, ECO:0000269|PubMed:23157686, ECO:0000269|PubMed:23642167, ECO:0000269|PubMed:25698971, ECO:0000269|PubMed:32092412, ECO:0000269|PubMed:32823731}.; FUNCTION: [Inter-alpha-trypsin inhibitor light chain]: Kunitz-type serine protease inhibitor and structural component of extracellular matrix with a role in extracellular space remodeling and cell adhesion (PubMed:20463016, PubMed:25301953). Among others, has antiprotease activity toward kallikrein, a protease involved in airway inflammation; inhibits GZMK/granzyme, a granule-stored serine protease involved in NK and T cell cytotoxic responses; and inhibits PLG/plasmin, a protease required for activation of matrix metalloproteinases (PubMed:10480954, PubMed:15917224, PubMed:16873769). As part of I-alpha-I complex, provides for the heavy chains to be transferred from I-alpha-I complex to hyaluronan in the presence of TNFAIP6, in a dynamic process that releases free bikunin and remodels extracellular matrix proteoglycan structures. Free bikunin, but not its heavy chain-bound form, acts as potent protease inhibitor in airway secretions (PubMed:16873769). Part of hyaluronan-rich extracellular matrix that surrounds oocyte during cumulus oophorus expansion, an indispensable process for proper ovulation (By similarity). Also inhibits calcium oxalate crystallization (PubMed:7676539). {ECO:0000250|UniProtKB:Q07456, ECO:0000269|PubMed:10480954, ECO:0000269|PubMed:15917224, ECO:0000269|PubMed:16873769, ECO:0000269|PubMed:20463016, ECO:0000269|PubMed:25301953, ECO:0000269|PubMed:7676539}.; FUNCTION: [Trypstatin]: Kunitz-type serine protease inhibitor. Has high catalytic efficiency for F10/blood coagulation factor Xa and may act as an anticoagulant by inhibiting prothrombin activation. Inhibits trypsin and mast cell CMA1/chymase and tryptase proteases. {ECO:0000250|UniProtKB:Q64240}.	AMBP HCP ITIL
P02763	A1AG1_HUMAN	Alpha-1-acid glycoprotein 1 (AGP 1) (Orosomucoid-1) (OMD 1)	Homo sapiens (Human)	201		FUNCTION: Functions as a transport protein in the blood stream. Binds various ligands in the interior of its beta-barrel domain. Also binds synthetic drugs and influences their distribution and availability in the body. Appears to function in modulating the activity of the immune system during the acute-phase reaction. {ECO:0000269|PubMed:17008009, ECO:0000269|PubMed:17321687}.	ORM1 AGP1
P02765	FETUA_HUMAN	Alpha-2-HS-glycoprotein (Alpha-2-Z-globulin) (Ba-alpha-2-glycoprotein) (Fetuin-A) [Cleaved into: Alpha-2-HS-glycoprotein chain A; Alpha-2-HS-glycoprotein chain B]	Homo sapiens (Human)	367	cysteine-type endopeptidase inhibitor activity [GO:0004869]; endopeptidase inhibitor activity [GO:0004866]; kinase inhibitor activity [GO:0019210]	FUNCTION: Promotes endocytosis, possesses opsonic properties and influences the mineral phase of bone. Shows affinity for calcium and barium ions.	AHSG FETUA PRO2743
P03886	NU1M_HUMAN	NADH-ubiquinone oxidoreductase chain 1 (EC 7.1.1.2) (NADH dehydrogenase subunit 1)	Homo sapiens (Human)	318	NADH dehydrogenase (ubiquinone) activity [GO:0008137]	FUNCTION: Core subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I) which catalyzes electron transfer from NADH through the respiratory chain, using ubiquinone as an electron acceptor (PubMed:1959619). Essential for the catalytic activity and assembly of complex I (PubMed:1959619, PubMed:26929434). {ECO:0000269|PubMed:1959619, ECO:0000269|PubMed:26929434}.	MT-ND1 MTND1 NADH1 ND1
P03891	NU2M_HUMAN	NADH-ubiquinone oxidoreductase chain 2 (EC 7.1.1.2) (NADH dehydrogenase subunit 2)	Homo sapiens (Human)	347	ionotropic glutamate receptor binding [GO:0035255]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]; protein kinase binding [GO:0019901]	FUNCTION: Core subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I) which catalyzes electron transfer from NADH through the respiratory chain, using ubiquinone as an electron acceptor (PubMed:16996290). Essential for the catalytic activity and assembly of complex I (PubMed:16996290). {ECO:0000269|PubMed:16996290}.	MT-ND2 MTND2 NADH2 ND2
P03999	OPSB_HUMAN	Short-wave-sensitive opsin 1 (Blue cone photoreceptor pigment) (Blue-sensitive opsin) (BOP)	Homo sapiens (Human)	345	G protein-coupled photoreceptor activity [GO:0008020]; signaling receptor activity [GO:0038023]	FUNCTION: Visual pigments are the light-absorbing molecules that mediate vision. They consist of an apoprotein, opsin, covalently linked to cis-retinal (Probable). Required for the maintenance of cone outer segment organization in the ventral retina, but not essential for the maintenance of functioning cone photoreceptors (By similarity). Involved in ensuring correct abundance and localization of retinal membrane proteins (By similarity). May increase spectral sensitivity in dim light (By similarity). {ECO:0000250|UniProtKB:P51491, ECO:0000305|PubMed:2937147}.	OPN1SW BCP
P04000	OPSR_HUMAN	Long-wave-sensitive opsin 1 (Red cone photoreceptor pigment) (Red-sensitive opsin) (ROP)	Homo sapiens (Human)	364	G protein-coupled photoreceptor activity [GO:0008020]; photoreceptor activity [GO:0009881]	FUNCTION: Visual pigments are the light-absorbing molecules that mediate vision. They consist of an apoprotein, opsin, covalently linked to cis-retinal.	OPN1LW RCP
P04001	OPSG_HUMAN	Medium-wave-sensitive opsin 1 (Green cone photoreceptor pigment) (Green-sensitive opsin) (GOP)	Homo sapiens (Human)	364	G protein-coupled photoreceptor activity [GO:0008020]; identical protein binding [GO:0042802]; photoreceptor activity [GO:0009881]	FUNCTION: Visual pigments are the light-absorbing molecules that mediate vision. They consist of an apoprotein, opsin, covalently linked to cis-retinal. {ECO:0000305|PubMed:12051694, ECO:0000305|PubMed:1302020, ECO:0000305|PubMed:2937147}.	OPN1MW GCP
P04075	ALDOA_HUMAN	Fructose-bisphosphate aldolase A (EC 4.1.2.13) (Lung cancer antigen NY-LU-1) (Muscle-type aldolase)	Homo sapiens (Human)	364	actin binding [GO:0003779]; cadherin binding [GO:0045296]; cytoskeletal protein binding [GO:0008092]; fructose binding [GO:0070061]; fructose-bisphosphate aldolase activity [GO:0004332]; identical protein binding [GO:0042802]; RNA binding [GO:0003723]; tubulin binding [GO:0015631]	FUNCTION: Catalyzes the reversible conversion of beta-D-fructose 1,6-bisphosphate (FBP) into two triose phosphate and plays a key role in glycolysis and gluconeogenesis (PubMed:14766013). In addition, may also function as scaffolding protein (By similarity). {ECO:0000250, ECO:0000269|PubMed:14766013}.	ALDOA ALDA
P04083	ANXA1_HUMAN	Annexin A1 (Annexin I) (Annexin-1) (Calpactin II) (Calpactin-2) (Chromobindin-9) (Lipocortin I) (Phospholipase A2 inhibitory protein) (p35) [Cleaved into: Annexin Ac2-26]	Homo sapiens (Human)	346	cadherin binding involved in cell-cell adhesion [GO:0098641]; calcium ion binding [GO:0005509]; calcium-dependent phospholipid binding [GO:0005544]; calcium-dependent protein binding [GO:0048306]; lipid binding [GO:0008289]; phosphatidylserine binding [GO:0001786]; phospholipase A2 inhibitor activity [GO:0019834]; phospholipid binding [GO:0005543]; signaling receptor binding [GO:0005102]	FUNCTION: Plays important roles in the innate immune response as effector of glucocorticoid-mediated responses and regulator of the inflammatory process. Has anti-inflammatory activity (PubMed:8425544). Plays a role in glucocorticoid-mediated down-regulation of the early phase of the inflammatory response (By similarity). Contributes to the adaptive immune response by enhancing signaling cascades that are triggered by T-cell activation, regulates differentiation and proliferation of activated T-cells (PubMed:17008549). Promotes the differentiation of T-cells into Th1 cells and negatively regulates differentiation into Th2 cells (PubMed:17008549). Has no effect on unstimulated T cells (PubMed:17008549). Negatively regulates hormone exocytosis via activation of the formyl peptide receptors and reorganization of the actin cytoskeleton (PubMed:19625660). Has high affinity for Ca(2+) and can bind up to eight Ca(2+) ions (By similarity). Displays Ca(2+)-dependent binding to phospholipid membranes (PubMed:2532504, PubMed:8557678). Plays a role in the formation of phagocytic cups and phagosomes. Plays a role in phagocytosis by mediating the Ca(2+)-dependent interaction between phagosomes and the actin cytoskeleton (By similarity). {ECO:0000250|UniProtKB:P10107, ECO:0000250|UniProtKB:P19619, ECO:0000269|PubMed:17008549, ECO:0000269|PubMed:19625660, ECO:0000269|PubMed:2532504, ECO:0000269|PubMed:2936963, ECO:0000269|PubMed:8425544, ECO:0000269|PubMed:8557678}.; FUNCTION: [Annexin Ac2-26]: Functions at least in part by activating the formyl peptide receptors and downstream signaling cascades (PubMed:15187149, PubMed:22879591, PubMed:25664854). Promotes chemotaxis of granulocytes and monocytes via activation of the formyl peptide receptors (PubMed:15187149). Promotes rearrangement of the actin cytoskeleton, cell polarization and cell migration (PubMed:15187149). Promotes resolution of inflammation and wound healing (PubMed:25664854). Acts via neutrophil N-formyl peptide receptors to enhance the release of CXCL2 (PubMed:22879591). {ECO:0000269|PubMed:15187149, ECO:0000269|PubMed:22879591, ECO:0000269|PubMed:25664854}.	ANXA1 ANX1 LPC1
P04085	PDGFA_HUMAN	Platelet-derived growth factor subunit A (PDGF subunit A) (PDGF-1) (Platelet-derived growth factor A chain) (Platelet-derived growth factor alpha polypeptide)	Homo sapiens (Human)	211	collagen binding [GO:0005518]; growth factor activity [GO:0008083]; identical protein binding [GO:0042802]; platelet-derived growth factor binding [GO:0048407]; platelet-derived growth factor receptor binding [GO:0005161]; protein heterodimerization activity [GO:0046982]; protein homodimerization activity [GO:0042803]	FUNCTION: Growth factor that plays an essential role in the regulation of embryonic development, cell proliferation, cell migration, survival and chemotaxis. Potent mitogen for cells of mesenchymal origin. Required for normal lung alveolar septum formation during embryogenesis, normal development of the gastrointestinal tract, normal development of Leydig cells and spermatogenesis. Required for normal oligodendrocyte development and normal myelination in the spinal cord and cerebellum. Plays an important role in wound healing. Signaling is modulated by the formation of heterodimers with PDGFB (By similarity). {ECO:0000250}.	PDGFA PDGF1
P04156	PRIO_HUMAN	Major prion protein (PrP) (ASCR) (PrP27-30) (PrP33-35C) (CD antigen CD230)	Homo sapiens (Human)	253	amyloid-beta binding [GO:0001540]; aspartic-type endopeptidase inhibitor activity [GO:0019828]; ATP-dependent protein binding [GO:0043008]; copper ion binding [GO:0005507]; cupric ion binding [GO:1903135]; cuprous ion binding [GO:1903136]; glycosaminoglycan binding [GO:0005539]; identical protein binding [GO:0042802]; lamin binding [GO:0005521]; microtubule binding [GO:0008017]; molecular adaptor activity [GO:0060090]; molecular condensate scaffold activity [GO:0140693]; molecular function activator activity [GO:0140677]; protease binding [GO:0002020]; protein-containing complex binding [GO:0044877]; protein-folding chaperone binding [GO:0051087]; signaling receptor activity [GO:0038023]; transmembrane transporter binding [GO:0044325]; tubulin binding [GO:0015631]; type 5 metabotropic glutamate receptor binding [GO:0031802]	FUNCTION: Its primary physiological function is unclear. May play a role in neuronal development and synaptic plasticity. May be required for neuronal myelin sheath maintenance. May promote myelin homeostasis through acting as an agonist for ADGRG6 receptor. May play a role in iron uptake and iron homeostasis. Soluble oligomers are toxic to cultured neuroblastoma cells and induce apoptosis (in vitro) (By similarity). Association with GPC1 (via its heparan sulfate chains) targets PRNP to lipid rafts. Also provides Cu(2+) or Zn(2+) for the ascorbate-mediated GPC1 deaminase degradation of its heparan sulfate side chains (By similarity). {ECO:0000250|UniProtKB:P04925, ECO:0000269|PubMed:12732622, ECO:0000269|PubMed:19936054, ECO:0000269|PubMed:20564047, ECO:0000305}.	PRNP ALTPRP PRIP PRP
P04179	SODM_HUMAN	Superoxide dismutase [Mn], mitochondrial (EC 1.15.1.1)	Homo sapiens (Human)	222	DNA binding [GO:0003677]; enzyme binding [GO:0019899]; identical protein binding [GO:0042802]; manganese ion binding [GO:0030145]; oxygen binding [GO:0019825]; superoxide dismutase activity [GO:0004784]	FUNCTION: Destroys superoxide anion radicals which are normally produced within the cells and which are toxic to biological systems. {ECO:0000269|PubMed:10334867}.	SOD2
P04183	KITH_HUMAN	Thymidine kinase, cytosolic (EC 2.7.1.21)	Homo sapiens (Human)	234	ATP binding [GO:0005524]; identical protein binding [GO:0042802]; thymidine kinase activity [GO:0004797]; zinc ion binding [GO:0008270]	FUNCTION: Cell-cycle-regulated enzyme of importance in nucleotide metabolism (PubMed:9575153). Catalyzes the first enzymatic step in the salvage pathway converting thymidine into thymidine monophosphate (PubMed:22385435). Transcriptional regulation limits expression to the S phase of the cell cycle and transient expression coincides with the oscillation in the intracellular dTTP concentration (Probable). Also important for the activation of anticancer and antiviral nucleoside analog prodrugs such as 1-b-d-arabinofuranosylcytosine (AraC) and 3c-azido-3c-deoxythymidine (AZT) (PubMed:22385435). {ECO:0000269|PubMed:22385435, ECO:0000269|PubMed:9575153, ECO:0000305|PubMed:17407781}.	TK1
